,Symbol2
AALR3,AALR3.SA
ABEV3,ABEV3.SA
AERI3,AERI3.SA
AFLT3,AFLT3.SA
AGRO3,AGRO3.SA
AGXY3,AGXY3.SA
AHEB3,AHEB3.SA
ALLD3,ALLD3.SA
ALOS3,ALOS3.SA
ALPA3,ALPA3.SA
ALPK3,ALPK3.SA
AMAR3,AMAR3.SA
AMBP3,AMBP3.SA
AMER3,AMER3.SA
ANIM3,ANIM3.SA
ARML3,ARML3.SA
ASAI3,ASAI3.SA
ATMP3,ATMP3.SA
ATOM3,ATOM3.SA
AURE3,AURE3.SA
AVLL3,AVLL3.SA
AZEV3,AZEV3.SA
AZZA3,AZZA3.SA
B3SA3,B3SA3.SA
BAHI3,BAHI3.SA
BALM3,BALM3.SA
BAZA3,BAZA3.SA
BBAS3,BBAS3.SA
BBDC3,BBDC3.SA
BBSE3,BBSE3.SA
BEEF3,BEEF3.SA
BEES3,BEES3.SA
BGIP3,BGIP3.SA
BHIA3,BHIA3.SA
BIOM3,BIOM3.SA
BLAU3,BLAU3.SA
BMEB3,BMEB3.SA
BMIN3,BMIN3.SA
BMKS3,BMKS3.SA
BMOB3,BMOB3.SA
BNBR3,BNBR3.SA
BRAP3,BRAP3.SA
BRAV3,BRAV3.SA
BRFS3,BRFS3.SA
BRIT3,BRIT3.SA
BRKM3,BRKM3.SA
BRSR3,BRSR3.SA
BSLI3,BSLI3.SA
CALI3,CALI3.SA
CAMB3,CAMB3.SA
CAML3,CAML3.SA
CASH3,CASH3.SA
CBAV3,CBAV3.SA
CBEE3,CBEE3.SA
CCRO3,CCRO3.SA
CEAB3,CEAB3.SA
CEBR3,CEBR3.SA
CEDO3,CEDO3.SA
CEEB3,CEEB3.SA
CGAS3,CGAS3.SA
CGRA3,CGRA3.SA
CLSA3,CLSA3.SA
CLSC3,CLSC3.SA
CMIG3,CMIG3.SA
CMIN3,CMIN3.SA
COGN3,COGN3.SA
CPFE3,CPFE3.SA
CPLE3,CPLE3.SA
CRFB3,CRFB3.SA
CSAN3,CSAN3.SA
CSED3,CSED3.SA
CSMG3,CSMG3.SA
CSNA3,CSNA3.SA
CSUD3,CSUD3.SA
CTKA3,CTKA3.SA
CTSA3,CTSA3.SA
CURY3,CURY3.SA
CVCB3,CVCB3.SA
CXSE3,CXSE3.SA
CYRE3,CYRE3.SA
DASA3,DASA3.SA
DESK3,DESK3.SA
DEXP3,DEXP3.SA
DIRR3,DIRR3.SA
DMVF3,DMVF3.SA
DOTZ3,DOTZ3.SA
DTCY3,DTCY3.SA
DXCO3,DXCO3.SA
EALT3,EALT3.SA
ECOR3,ECOR3.SA
EGIE3,EGIE3.SA
ELET3,ELET3.SA
ELMD3,ELMD3.SA
EMAE3,EMAE3.SA
EMBR3,EMBR3.SA
ENEV3,ENEV3.SA
ENJU3,ENJU3.SA
ENMT3,ENMT3.SA
EPAR3,EPAR3.SA
EQMA3B,EQMA3B.SA
EQPA3,EQPA3.SA
EQTL3,EQTL3.SA
ESPA3,ESPA3.SA
ETER3,ETER3.SA
EUCA3,EUCA3.SA
EVEN3,EVEN3.SA
EZTC3,EZTC3.SA
FESA3,FESA3.SA
FHER3,FHER3.SA
FIQE3,FIQE3.SA
FLRY3,FLRY3.SA
FRAS3,FRAS3.SA
FRIO3,FRIO3.SA
GEPA3,GEPA3.SA
GFSA3,GFSA3.SA
GGBR3,GGBR3.SA
GGPS3,GGPS3.SA
GMAT3,GMAT3.SA
GOAU3,GOAU3.SA
GRND3,GRND3.SA
GSHP3,GSHP3.SA
GUAR3,GUAR3.SA
HAGA3,HAGA3.SA
HAPV3,HAPV3.SA
HBOR3,HBOR3.SA
HBRE3,HBRE3.SA
HBSA3,HBSA3.SA
HYPE3,HYPE3.SA
IFCM3,IFCM3.SA
INEP3,INEP3.SA
INTB3,INTB3.SA
IRBR3,IRBR3.SA
ISAE3,ISAE3.SA
ITSA3,ITSA3.SA
ITUB3,ITUB3.SA
JALL3,JALL3.SA
JBSS3,JBSS3.SA
JFEN3,JFEN3.SA
JHSF3,JHSF3.SA
JOPA3,JOPA3.SA
JSLG3,JSLG3.SA
KEPL3,KEPL3.SA
KRSA3,KRSA3.SA
LAND3,LAND3.SA
LAVV3,LAVV3.SA
LEVE3,LEVE3.SA
LIGT3,LIGT3.SA
LIPR3,LIPR3.SA
LJQQ3,LJQQ3.SA
LOGG3,LOGG3.SA
LOGN3,LOGN3.SA
LPSB3,LPSB3.SA
LREN3,LREN3.SA
LUPA3,LUPA3.SA
LVTC3,LVTC3.SA
LWSA3,LWSA3.SA
MATD3,MATD3.SA
MBLY3,MBLY3.SA
MDIA3,MDIA3.SA
MDNE3,MDNE3.SA
MEAL3,MEAL3.SA
MELK3,MELK3.SA
MGLU3,MGLU3.SA
MILS3,MILS3.SA
MLAS3,MLAS3.SA
MNDL3,MNDL3.SA
MNPR3,MNPR3.SA
MOAR3,MOAR3.SA
MOVI3,MOVI3.SA
MRFG3,MRFG3.SA
MRSA3B,MRSA3B.SA
MRVE3,MRVE3.SA
MTRE3,MTRE3.SA
MULT3,MULT3.SA
MYPK3,MYPK3.SA
NEOE3,NEOE3.SA
NEXP3,NEXP3.SA
NGRD3,NGRD3.SA
NINJ3,NINJ3.SA
NORD3,NORD3.SA
NTCO3,NTCO3.SA
NUTR3,NUTR3.SA
ODPV3,ODPV3.SA
OFSA3,OFSA3.SA
OIBR3,OIBR3.SA
ONCO3,ONCO3.SA
OPCT3,OPCT3.SA
ORVR3,ORVR3.SA
OSXB3,OSXB3.SA
PATI3,PATI3.SA
PCAR3,PCAR3.SA
PDGR3,PDGR3.SA
PDTC3,PDTC3.SA
PEAB3,PEAB3.SA
PETR3,PETR3.SA
PETZ3,PETZ3.SA
PFRM3,PFRM3.SA
PGMN3,PGMN3.SA
PINE3,PINE3.SA
PLAS3,PLAS3.SA
PLPL3,PLPL3.SA
PMAM3,PMAM3.SA
PNVL3,PNVL3.SA
POMO3,POMO3.SA
PORT3,PORT3.SA
POSI3,POSI3.SA
PRIO3,PRIO3.SA
PRNR3,PRNR3.SA
PSSA3,PSSA3.SA
PTBL3,PTBL3.SA
PTNT3,PTNT3.SA
QUAL3,QUAL3.SA
RADL3,RADL3.SA
RAIL3,RAIL3.SA
RANI3,RANI3.SA
RAPT3,RAPT3.SA
RCSL3,RCSL3.SA
RDNI3,RDNI3.SA
RDOR3,RDOR3.SA
RECV3,RECV3.SA
REDE3,REDE3.SA
RENT3,RENT3.SA
ROMI3,ROMI3.SA
RPMG3,RPMG3.SA
RSID3,RSID3.SA
SBFG3,SBFG3.SA
SBSP3,SBSP3.SA
SCAR3,SCAR3.SA
SEER3,SEER3.SA
SEQL3,SEQL3.SA
SHOW3,SHOW3.SA
SLCE3,SLCE3.SA
SMFT3,SMFT3.SA
SMTO3,SMTO3.SA
SNSY3,SNSY3.SA
SOJA3,SOJA3.SA
SRNA3,SRNA3.SA
STBP3,STBP3.SA
SUZB3,SUZB3.SA
SYNE3,SYNE3.SA
TASA3,TASA3.SA
TCSA3,TCSA3.SA
TECN3,TECN3.SA
TELB3,TELB3.SA
TEND3,TEND3.SA
TGMA3,TGMA3.SA
TIMS3,TIMS3.SA
TOTS3,TOTS3.SA
TPIS3,TPIS3.SA
TRAD3,TRAD3.SA
TRIS3,TRIS3.SA
TTEN3,TTEN3.SA
TUPY3,TUPY3.SA
TXRX3,TXRX3.SA
UCAS3,UCAS3.SA
UGPA3,UGPA3.SA
UNIP3,UNIP3.SA
USIM3,USIM3.SA
VALE3,VALE3.SA
VAMO3,VAMO3.SA
VBBR3,VBBR3.SA
VITT3,VITT3.SA
VIVA3,VIVA3.SA
VIVR3,VIVR3.SA
VIVT3,VIVT3.SA
VLID3,VLID3.SA
VSTE3,VSTE3.SA
VTRU3,VTRU3.SA
VULC3,VULC3.SA
VVEO3,VVEO3.SA
WEGE3,WEGE3.SA
WEST3,WEST3.SA
WHRL3,WHRL3.SA
WIZC3,WIZC3.SA
YDUQ3,YDUQ3.SA